vacID,dateID,province,partial,fully,booster
753,58,NT,96926,38000,18272
754,58,NU,69834,25925,11770
755,59,BC,11068342,4207822,2386677
756,59,AB,8409914,3322760,1518309
757,59,SK,2329597,899829,451254
758,59,MB,2795792,1081217,559562
759,59,ON,31248014,11887639,6726615
760,59,QC,18485021,7014095,4009185
761,59,NL,961944,465392,0
762,59,NB,1693505,643911,355154
763,59,NS,2175757,817844,479356
764,59,PE,355229,138942,67369
765,59,YT,91299,35180,18661
766,59,NT,97806,38516,18543
767,59,NU,71668,26645,12523
768,60,BC,11216953,4238801,2497755
769,60,AB,8455738,3338611,1542068
770,60,SK,2329597,899829,451254
771,60,MB,2818315,1090744,570578
772,60,ON,31467215,11955214,6847871
773,60,QC,18621247,7055232,4096080
774,60,NL,967199,469904,0
775,60,NB,1710295,648317,366149
776,60,NS,2196425,824695,492234
777,60,PE,355229,138942,67369
778,60,YT,89370,34032,18868
779,60,NT,98529,38816,18881
780,60,NU,73331,27289,13182
781,61,BC,11310191,4262169,2562949
782,61,AB,8486394,3349593,1557488
783,61,SK,2329597,899829,451254
784,61,MB,2830568,1095447,576911
785,61,ON,31645374,11998022,6958202
786,61,QC,18723958,7077996,4170019
787,61,NL,970503,472741,0
788,61,NB,1722288,652502,373196
789,61,NS,2210140,829001,498548
790,61,PE,363678,140935,73514
791,61,YT,90058,34338,19214
792,61,NT,98969,38996,19101
793,61,NU,74352,27776,13523
794,62,BC,11361559,4277334,2595400
795,62,AB,8509282,3358164,1568339
796,62,SK,2329597,899829,451254
797,62,MB,2840311,1099486,581703
798,62,ON,31773683,12032707,7031101
799,62,QC,18791568,7090456,4220898
800,62,NL,1258346,474738,285534
801,62,NB,1729088,654567,377401
802,62,NS,2217196,831009,503257
803,62,PE,367300,141226,76663
804,62,YT,90425,34567,19341
805,62,NT,99311,39128,19277
806,62,NU,74881,27989,13738
807,63,BC,11398503,4289912,2616708
808,63,AB,8528703,3358378,1577337
809,63,SK,2329597,899829,451254
810,63,MB,2847639,1102303,585330
811,63,ON,31867050,12060541,7079357
812,63,QC,18840328,7103379,4252486
813,63,NL,1260650,475891,286504
814,63,NB,1733241,655731,380040
815,63,NS,2217196,831009,503257
816,63,PE,369073,141752,77786
817,63,YT,90642,34661,19473
818,63,NT,99311,39128,19277
819,63,NU,75394,28244,13890
820,64,BC,11434211,4303324,2636829
821,64,AB,8550867,3364574,1589971
822,64,SK,2329597,899829,451254
823,64,MB,2853637,1104825,588188
824,64,ON,31957858,12088054,7126487
825,64,QC,18882883,7115324,4278990
826,64,NL,1260650,475891,286504
827,64,NB,1734432,656062,380762
828,64,NS,2217196,831009,503257
829,64,PE,371154,142664,78816
830,64,YT,90932,34793,19616
831,64,NT,99769,39285,19529
832,64,NU,75945,28510,14086
833,65,BC,11468257,4316033,2655809
834,65,AB,8565479,3368383,1598895
835,65,SK,2336814,900769,483213
836,65,MB,2860118,1107564,591305
