Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,fully,booster
672,2021-12-25,Nova Scotia,NS,14301,111,8643,1758286,793489,105019
673,2021-12-25,Prince Edward Island,PE,737,0,417,292619,133999,15181
674,2021-12-25,Yukon,YT,1668,14,1602,80825,34029,10341
675,2021-12-25,Northwest Territories,NT,2088,12,2059,91434,36803,14692
676,2021-12-25,Nunavut,NU,695,4,672,54791,24665,0
677,2022-01-01,British Columbia,BC,258882,2423,230784,9399015,4115041,909598
678,2022-01-01,Alberta,AB,373555,3321,336917,7594578,3212007,887392
679,2022-01-01,Saskatchewan,SK,85188,955,81389,2083560,857368,283558
680,2022-01-01,Manitoba,MB,80096,1392,68780,2441661,1037539,276639
681,2022-01-01,Ontario,ON,807841,10188,652114,27311125,11415518,3662068
682,2022-01-01,Quebec,QC,656572,11251,488030,15444640,6711562,1405744
683,2022-01-01,Newfoundland and Labrador,NL,4597,19,2239,932249,447111,0
684,2022-01-01,New Brunswick,NB,15069,160,10779,1452045,622395,152407
685,2022-01-01,Nova Scotia,NS,19175,111,8643,1791016,794817,133044
686,2022-01-01,Prince Edward Island,PE,1447,0,417,292619,133999,15181
687,2022-01-01,Yukon,YT,1808,15,1602,80825,34029,10341
688,2022-01-01,Northwest Territories,NT,2189,12,2059,91434,36803,14692
689,2022-01-01,Nunavut,NU,819,4,672,55230,24746,0
690,2022-01-08,British Columbia,BC,279448,2439,240198,9604331,4123009,1089410
691,2022-01-08,Alberta,AB,406271,3348,348500,7825022,3223444,1087405
692,2022-01-08,Saskatchewan,SK,90765,961,82907,2128090,866037,314597
693,2022-01-08,Manitoba,MB,94850,1408,68847,2548223,1041044,373869
694,2022-01-08,Ontario,ON,899260,10378,719739,28324152,11462390,4571616
695,2022-01-08,Quebec,QC,759801,11500,577427,15942679,6724651,1872698
696,2022-01-08,Newfoundland and Labrador,NL,7949,21,3139,934192,447810,0
697,2022-01-08,New Brunswick,NB,20278,171,12207,1488815,623892,184284
698,2022-01-08,Nova Scotia,NS,25003,113,17152,1842770,796012,180694
699,2022-01-08,Prince Edward Island,PE,2625,0,703,302771,134316,23995
700,2022-01-08,Yukon,YT,2191,15,1752,83875,34201,12844
701,2022-01-08,Northwest Territories,NT,2856,12,2113,92957,36943,15864
702,2022-01-08,Nunavut,NU,976,4,694,55740,24832,0
703,2022-01-15,British Columbia,BC,295904,2468,251846,9962096,4132647,1412493
704,2022-01-15,Alberta,AB,446494,3407,368986,8007767,3242357,1239464
705,2022-01-15,Saskatchewan,SK,98699,961,86815,2194619,876137,365082
706,2022-01-15,Manitoba,MB,107838,1445,69075,2624569,1044743,440805
707,2022-01-15,Ontario,ON,973025,10723,827756,29337677,11530464,5440984
708,2022-01-15,Quebec,QC,806897,11914,689848,16661070,6742281,2543681
709,2022-01-15,Newfoundland and Labrador,NL,12406,25,6485,939733,449755,0
710,2022-01-15,New Brunswick,NB,22359,183,14760,1533010,625621,223777
711,2022-01-15,Nova Scotia,NS,30101,119,17152,1909828,800180,239090
712,2022-01-15,Prince Edward Island,PE,4118,1,1867,314880,134681,34273
713,2022-01-15,Yukon,YT,2665,15,2210,87871,34440,16274
714,2022-01-15,Northwest Territories,NT,3784,13,2435,93926,37022,16619
715,2022-01-15,Nunavut,NU,1141,5,923,56225,24998,0
716,2022-01-22,British Columbia,BC,310242,2529,271553,10334333,4142310,1754646
717,2022-01-22,Alberta,AB,471717,3488,401572,8124814,3248574,1348382
718,2022-01-22,Saskatchewan,SK,107842,972,94253,2248820,884599,405845
719,2022-01-22,Manitoba,MB,114021,1492,75954,2688402,1049953,493634
720,2022-01-22,Ontario,ON,1019843,11186,908533,29977268,11595052,5955345
721,2022-01-22,Quebec,QC,837681,12397,747819,17362055,6779928,3176522
722,2022-01-22,Newfoundland and Labrador,NL,14805,31,11358,941771,450386,0
723,2022-01-22,New Brunswick,NB,25465,207,20083,1586297,627392,271987
724,2022-01-22,Nova Scotia,NS,34021,128,17152,1998064,798609,327601
725,2022-01-22,Prince Edward Island,PE,5807,6,2598,325811,135061,43863
726,2022-01-22,Yukon,YT,2886,16,2592,88855,34514,17131
727,2022-01-22,Northwest Territories,NT,4703,14,3189,94939,37132,17362
728,2022-01-22,Nunavut,NU,1346,5,1047,56820,25197,0
729,2022-01-29,British Columbia,BC,322265,2597,287931,10640763,4153936,2034020
730,2022-01-29,Alberta,AB,490661,3578,442605,8255417,3275269,1431208
731,2022-01-29,Saskatchewan,SK,116511,989,102969,2290101,893793,433752
732,2022-01-29,Manitoba,MB,118862,1543,87599,2732174,1060362,522823
733,2022-01-29,Ontario,ON,1051964,11634,965386,30490270,11696545,6316931
