pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
12,Nova Scotia,Nouvelle-Écosse,2023-12-23,51,2023,1,150542,304,14763,961,2,94.24,29.81,0.2,611,11,59.92,1.08,43.43,4.26,0.29,0.03
11,Prince Edward Island,Île-du-Prince-Édouard,2023-12-23,51,2023,0,58117,,34048.67,114,,66.79,,,,,,,,,,
60,Yukon,Yukon,2023-12-23,51,2023,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-12-23,51,2023,0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2023-12-23,51,2023,0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-12-23,51,2023,,13,0,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,2023-12-23,51,2023,,4880950,11618,12537.79,57311,179,147.22,29.84,0.46,23979,361,61.6,0.93,1659.71,4.26,25.57,0.07
59,British Columbia,Colombie-Britannique,2023-12-30,52,2023,1,413594,424,7775.31,6527,26,122.7,7.97,0.49,780,51,14.66,0.96,60.57,1.14,3.71,0.07
48,Alberta,Alberta,2023-12-30,52,2023,1,647979,528,14262.89,6248,12,137.53,11.62,0.26,1089,29,23.97,0.64,75.43,1.66,1.71,0.04
47,Saskatchewan,Saskatchewan,2023-12-30,52,2023,1,161701,202,13533.7,2048,9,171.41,16.91,0.75,423,12,35.4,1,28.86,2.42,1.29,0.11
46,Manitoba,Manitoba,2023-12-30,52,2023,1,160230,140,11370.1,2571,,182.44,9.93,,290,,20.58,,20,1.42,,
35,Ontario,Ontario,2023-12-30,52,2023,1,1692153,3888,11199.33,18182,57,120.34,25.73,0.38,8050,101,53.28,0.67,555.43,3.68,8.14,0.05
24,Quebec,Québec,2023-12-30,52,2023,1,1435424,4860,16507.36,19422,86,223.35,55.89,0.99,10621,168,122.14,1.93,694.29,7.98,12.29,0.14
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-12-30,52,2023,1,57542,87,10940.13,387,3,73.58,16.54,0.57,190,4,36.12,0.76,12.43,2.36,0.43,0.08
13,New Brunswick,Nouveau-Brunswick,2023-12-30,52,2023,1,93899,146,11563.05,989,6,121.79,17.98,0.74,,11,,1.35,20.86,2.57,0.86,0.11
12,Nova Scotia,Nouvelle-Écosse,2023-12-30,52,2023,1,150811,269,14789.38,961,0,94.24,26.38,0,573,2,56.19,0.2,38.43,3.77,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,2023-12-30,52,2023,1,58228,,34113.7,114,,66.79,,,111,0,65.03,0,,,,
60,Yukon,Yukon,2023-12-30,52,2023,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-12-30,52,2023,0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2023-12-30,52,2023,0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-12-30,52,2023,,13,0,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,2023-12-30,52,2023,,4891605,10544,12565.16,57510,199,147.73,27.08,0.51,22273,378,57.21,0.97,1506.29,3.87,28.43,0.07
59,British Columbia,Colombie-Britannique,2024-01-06,1,2024,1,414104,510,7784.9,6551,24,123.15,9.59,0.45,934,50,17.56,0.94,72.86,1.37,3.43,0.06
48,Alberta,Alberta,2024-01-06,1,2024,1,648573,594,14275.97,6266,18,137.92,13.07,0.4,1122,30,24.7,0.66,84.86,1.87,2.57,0.06
47,Saskatchewan,Saskatchewan,2024-01-06,1,2024,1,161951,250,13554.62,2048,0,171.41,20.92,0,452,9,37.83,0.75,35.71,2.99,0,0
46,Manitoba,Manitoba,2024-01-06,1,2024,1,160348,118,11378.47,2571,,182.44,8.37,,258,,18.31,,16.86,1.2,,
35,Ontario,Ontario,2024-01-06,1,2024,1,1696322,4169,11226.92,18244,62,120.75,27.59,0.41,8057,119,53.32,0.79,595.57,3.94,8.86,0.06
24,Quebec,Québec,2024-01-06,1,2024,1,1439823,4399,16557.95,19502,80,224.27,50.59,0.92,9259,166,106.48,1.91,628.43,7.23,11.43,0.13
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2024-01-06,1,2024,1,57648,106,10960.28,390,3,74.15,20.15,0.57,193,6,36.69,1.14,15.14,2.88,0.43,0.08
13,New Brunswick,Nouveau-Brunswick,2024-01-06,1,2024,1,94041,142,11580.53,998,9,122.9,17.49,1.11,288,15,35.47,1.85,20.29,2.5,1.29,0.16
12,Nova Scotia,Nouvelle-Écosse,2024-01-06,1,2024,1,151058,247,14813.6,974,13,95.52,24.22,1.27,516,13,50.6,1.27,35.29,3.46,1.86,0.18
11,Prince Edward Island,Île-du-Prince-Édouard,2024-01-06,1,2024,1,58267,39,34136.55,114,0,66.79,22.85,0,,,,,5.57,3.26,0,0
60,Yukon,Yukon,2024-01-06,1,2024,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2024-01-06,1,2024,0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2024-01-06,1,2024,0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2024-01-06,1,2024,,13,0,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,2024-01-06,1,2024,,4902179,10574,12592.32,57719,209,148.26,27.16,0.54,21118,408,54.25,1.05,1510.57,3.88,29.86,0.08
59,British Columbia,Colombie-Britannique,2024-01-13,2,2024,1,414652,548,7795.2,6580,29,123.7,10.3,0.55,1058,53,19.89,1,78.29,1.47,4.14,0.08
48,Alberta,Alberta,2024-01-13,2,2024,1,649098,525,14287.52,6278,12,138.19,11.56,0.26,1119,30,24.63,0.66,75,1.65,1.71,0.04
47,Saskatchewan,Saskatchewan,2024-01-13,2,2024,1,162124,173,13569.1,2050,2,171.58,14.48,0.17,423,2,35.4,0.17,24.71,2.07,0.29,0.02
46,Manitoba,Manitoba,2024-01-13,2,2024,1,160450,102,11385.71,2571,,182.44,7.24,,220,,15.61,,14.57,1.03,,
35,Ontario,Ontario,2024-01-13,2,2024,1,1699414,3092,11247.38,18315,71,121.22,20.46,0.47,7261,133,48.06,0.88,441.71,2.92,10.14,0.07
24,Quebec,Québec,2024-01-13,2,2024,1,1443050,3227,16595.06,19572,70,225.08,37.11,0.8,7626,150,87.7,1.72,461,5.3,10,0.11
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2024-01-13,2,2024,1,57768,120,10983.09,393,3,74.72,22.81,0.57,226,6,42.97,1.14,17.14,3.26,0.43,0.08
13,New Brunswick,Nouveau-Brunswick,2024-01-13,2,2024,1,94151,110,11594.08,999,1,123.02,13.55,0.12,252,10,31.03,1.23,15.71,1.94,0.14,0.02
12,Nova Scotia,Nouvelle-Écosse,2024-01-13,2,2024,1,151235,177,14830.96,982,8,96.3,17.36,0.78,424,21,41.58,2.06,25.29,2.48,1.14,0.11
11,Prince Edward Island,Île-du-Prince-Édouard,2024-01-13,2,2024,1,58300,33,34155.89,114,0,66.79,19.33,0,72,0,42.18,0,4.71,2.76,0,0
60,Yukon,Yukon,2024-01-13,2,2024,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2024-01-13,2,2024,0,11511,,25240.65,22,,48.24,,,,,,,,,,
