covidID,dateID,province,totalcases,numdeaths,recovery
1345,104,QC,1279191,17033,1099129
1346,104,NL,54010,288,25162
1347,104,NB,84891,722,65138
1348,104,NS,135141,682,43018
1349,104,PE,55517,82,41242
1350,104,YT,4989,32,4489
1351,104,NT,11511,22,11327
1352,104,NU,3531,7,3435
1353,105,BC,393145,4896,307963
1354,105,AB,623991,5421,523679
1355,105,SK,151570,1822,113023
1356,105,MB,153784,2369,129338
1357,105,ON,1550579,16189,1526231
1358,105,QC,1285178,17139,1099129
1359,105,NL,54113,295,25162
1360,105,NB,85897,740,65138
1361,105,NS,135956,691,43018
1362,105,PE,55679,82,41242
1363,105,YT,4989,32,4489
1364,105,NT,11511,22,11327
1365,105,NU,3531,7,3435
1366,106,BC,393804,4961,307963
1367,106,AB,624959,5444,523679
1368,106,SK,151941,1833,113023
1369,106,MB,153919,2394,129338
1370,106,ON,1557996,16287,1532259
1371,106,QC,1290655,17237,1099129
1372,106,NL,54255,295,25162
1373,106,NB,86418,749,65138
1374,106,NS,136944,699,43018
1375,106,PE,55825,83,41242
1376,106,YT,4989,32,4489
1377,106,NT,11511,22,11327
1378,106,NU,3531,7,3435
1379,107,BC,394366,5007,307963
1380,107,AB,625888,5475,523679
1381,107,SK,152258,1845,113023
1382,107,MB,154041,2403,129338
1383,107,ON,1563976,16383,1539547
1384,107,QC,1295049,17331,1099129
1385,107,NL,54332,299,25162
1386,107,NB,86851,762,65138
1387,107,NS,137669,705,43018
1388,107,PE,55985,85,41242
1389,107,YT,4989,32,4489
1390,107,NT,11511,22,11327
1391,107,NU,3531,7,3435
1392,108,BC,394774,5061,307963
1393,108,AB,626555,5505,523679
1394,108,SK,152531,1857,113023
1395,108,MB,154100,2418,129338
1396,108,ON,1569190,16460,1545969
1397,108,QC,1298683,17412,1099129
1398,108,NL,54412,299,25162
1399,108,NB,87172,773,65138
1400,108,NS,138331,715,43018
1401,108,PE,56136,85,41242
1402,108,YT,4989,32,4489
1403,108,NT,11511,22,11327
1404,108,NU,3531,7,3435
1405,109,BC,395070,5106,307963
1406,109,AB,627157,5533,523679
1407,109,SK,152773,1867,113023
1408,109,MB,154196,2428,129338
1409,109,ON,1574166,16529,1551199
1410,109,QC,1301748,17479,1099129
1411,109,NL,54473,307,25162
1412,109,NB,87435,781,65138
